"","area_data_type","GEOID","county","state","total_units","biz_res","speed_02_02","speed_10_1","speed_25_3","speed_100_20","speed_250_25","speed_1000_100"
"1","Total","01001","Autauga","AL",27965,"R",1,1,1,1,1,0.600107277
"2","Total","01001","Autauga","AL",27965,"B",1,1,1,1,1,0.603361345
"3","Total","01003","Baldwin","AL",149110,"R",1,1,1,1,1,0.645328952
"4","Total","01003","Baldwin","AL",149110,"B",1,1,1,1,1,0.6772584
"5","Total","01005","Barbour","AL",14829,"R",1,1,1,1,1,0.618045721
"6","Total","01005","Barbour","AL",14829,"B",1,1,1,1,1,0.647852182
"7","Total","01007","Bibb","AL",10727,"R",1,1,1,0.999906777,0.999906777,0.397408409
"8","Total","01007","Bibb","AL",10727,"B",1,1,1,0.999906777,0.999906777,0.416239396
"9","Total","01009","Blount","AL",28976,"R",1,1,1,0.999896466,0.999896466,0.342110712
"10","Total","01009","Blount","AL",28976,"B",1,1,1,0.999896466,0.999896466,0.34649365
"11","Total","01011","Bullock","AL",5577,"R",1,1,1,1,1,0.931683701
"12","Total","01011","Bullock","AL",5577,"B",1,1,1,1,1,0.931683701
"13","Total","01013","Butler","AL",12038,"R",1,1,1,1,1,0.545356371
"14","Total","01013","Butler","AL",12038,"B",1,1,1,1,1,0.554494102
"15","Total","01015","Calhoun","AL",60773,"R",1,1,1,1,1,0.452339032
"16","Total","01015","Calhoun","AL",60773,"B",1,1,1,1,1,0.454511049
"17","Total","01017","Chambers","AL",18661,"R",1,1,1,1,1,0.192487005
"18","Total","01017","Chambers","AL",18661,"B",1,1,1,1,1,0.221531536
"19","Total","01019","Cherokee","AL",18238,"R",1,1,1,0.999945169,0.999945169,0.223982893
"20","Total","01019","Cherokee","AL",18238,"B",1,1,1,0.999945169,0.999945169,0.235661805
"21","Total","01021","Chilton","AL",23107,"R",1,1,1,1,1,0.852252564
"22","Total","01021","Chilton","AL",23107,"B",1,1,1,1,1,0.85316138
"23","Total","01023","Choctaw","AL",9094,"R",1,1,1,1,1,0.074664614
"24","Total","01023","Choctaw","AL",9094,"B",1,1,1,1,1,0.074884539
"25","Total","01025","Clarke","AL",13910,"R",1,1,1,1,1,0.074335011
"26","Total","01025","Clarke","AL",13910,"B",1,1,1,1,1,0.078289001
"27","Total","01027","Clay","AL",7977,"R",1,1,1,1,1,0.482637583
"28","Total","01027","Clay","AL",7977,"B",1,1,1,1,1,0.500313401
"29","Total","01029","Cleburne","AL",8003,"R",1,1,1,1,1,0.188554292
"30","Total","01029","Cleburne","AL",8003,"B",1,1,1,1,1,0.188679245
"31","Total","01031","Coffee","AL",28777,"R",1,1,1,1,1,0.949960038
"32","Total","01031","Coffee","AL",28777,"B",1,1,1,1,1,0.951593286
"33","Total","01033","Colbert","AL",32349,"R",1,1,1,1,1,0.601069585
"34","Total","01033","Colbert","AL",32349,"B",1,1,1,1,1,0.538656527
"35","Total","01035","Conecuh","AL",8188,"R",1,1,1,1,1,0.001709819
"36","Total","01035","Conecuh","AL",8188,"B",1,1,1,1,1,0.006228627
"37","Total","01037","Coosa","AL",7562,"R",1,1,1,1,1,0.573393282
"38","Total","01037","Coosa","AL",7562,"B",1,1,1,1,1,0.601031473
"39","Total","01039","Covington","AL",22050,"R",1,1,1,1,1,0.884671202
"40","Total","01039","Covington","AL",22050,"B",1,1,1,1,1,0.887573696
"41","Total","01041","Crenshaw","AL",8173,"R",1,1,1,1,1,0.705248991
"42","Total","01041","Crenshaw","AL",8173,"B",1,1,1,1,1,0.705248991
"43","Total","01043","Cullman","AL",46834,"R",1,1,1,1,1,0.84707691
"44","Total","01043","Cullman","AL",46834,"B",1,1,1,1,1,0.853674681
"45","Total","01045","Dale","AL",25968,"R",1,1,1,1,1,0.922558534
"46","Total","01045","Dale","AL",25968,"B",1,1,1,1,1,0.924252927
"47","Total","01047","Dallas","AL",21745,"R",1,1,1,1,1,0.200045988
"48","Total","01047","Dallas","AL",21745,"B",1,1,1,1,1,0.22207404
"49","Total","01049","DeKalb","AL",35058,"R",1,1,1,1,1,0.782218039
"50","Total","01049","DeKalb","AL",35058,"B",1,1,1,1,1,0.783644247
"51","Total","01051","Elmore","AL",43028,"R",1,1,1,1,1,0.659547272
"52","Total","01051","Elmore","AL",43028,"B",1,1,1,1,1,0.665845496
"53","Total","01053","Escambia","AL",20217,"R",1,1,1,0.999950537,0.999802147,0.106840778
"54","Total","01053","Escambia","AL",20217,"B",1,1,1,0.999802147,0.999802147,0.118365732
"55","Total","01055","Etowah","AL",54837,"R",1,1,1,1,1,0.630997319
"56","Total","01055","Etowah","AL",54837,"B",1,1,1,1,1,0.63650455
"57","Total","01057","Fayette","AL",9285,"R",1,1,1,1,1,0.955950458
"58","Total","01057","Fayette","AL",9285,"B",1,1,1,1,1,0.955950458
"59","Total","01059","Franklin","AL",16882,"R",1,1,1,1,1,0.695356
"60","Total","01059","Franklin","AL",16882,"B",1,1,1,1,1,0.700864826
"61","Total","01061","Geneva","AL",14968,"R",1,1,1,1,1,0.826897381
"62","Total","01061","Geneva","AL",14968,"B",1,1,1,1,1,0.848944415
"63","Total","01063","Greene","AL",5332,"R",1,1,1,1,1,0.578582146
"64","Total","01063","Greene","AL",5332,"B",1,1,1,1,1,0.617779445
"65","Total","01065","Hale","AL",9809,"R",1,1,1,1,1,0.24936283
"66","Total","01065","Hale","AL",9809,"B",1,1,1,1,1,0.272402895
"67","Total","01067","Henry","AL",11418,"R",1,1,1,1,1,0.783149413
"68","Total","01067","Henry","AL",11418,"B",1,1,1,1,1,0.733841303
"69","Total","01069","Houston","AL",58658,"R",1,1,1,1,1,0.721589553
"70","Total","01069","Houston","AL",58658,"B",1,1,1,1,1,0.718452726
"71","Total","01071","Jackson","AL",28412,"R",1,1,1,1,1,0.987258905
"72","Total","01071","Jackson","AL",28412,"B",1,1,1,1,1,0.988596368
"73","Total","01073","Jefferson","AL",344711,"R",1,1,1,1,1,0.63936747
"74","Total","01073","Jefferson","AL",344711,"B",1,1,1,1,1,0.652653962
"75","Total","01075","Lamar","AL",8775,"R",1,1,1,1,1,0.99954416
"76","Total","01075","Lamar","AL",8775,"B",1,1,1,1,1,0.99954416
"77","Total","01077","Lauderdale","AL",50440,"R",1,1,1,1,1,0.602735924
"78","Total","01077","Lauderdale","AL",50440,"B",1,1,1,1,1,0.607018239
"79","Total","01079","Lawrence","AL",18571,"R",1,1,1,1,1,0.832857681
"80","Total","01079","Lawrence","AL",18571,"B",1,1,1,1,1,0.430779172
"81","Total","01081","Lee","AL",90425,"R",1,1,1,0.999988941,0.999988941,0.616134918
"82","Total","01081","Lee","AL",90425,"B",1,1,1,0.999988941,0.999988941,0.617307161
"83","Total","01083","Limestone","AL",50519,"R",1,1,1,1,1,0.533383479
"84","Total","01083","Limestone","AL",50519,"B",1,1,1,1,1,0.53779766
"85","Total","01085","Lowndes","AL",5683,"R",1,1,1,1,1,0.437093085
"86","Total","01085","Lowndes","AL",5683,"B",1,1,1,1,1,0.437093085
"87","Total","01087","Macon","AL",11155,"R",1,1,1,1,1,0.216584491
"88","Total","01087","Macon","AL",11155,"B",1,1,1,1,1,0.229045271
"89","Total","01089","Madison","AL",203087,"R",1,1,1,1,1,0.927307016
"90","Total","01089","Madison","AL",203087,"B",1,1,1,1,1,0.930074303
"91","Total","01091","Marengo","AL",11462,"R",1,1,1,1,1,0.670389112
"92","Total","01091","Marengo","AL",11462,"B",1,1,1,1,1,0.670389112
"93","Total","01093","Marion","AL",16637,"R",1,1,1,1,1,1
"94","Total","01093","Marion","AL",16637,"B",1,1,1,1,1,1
"95","Total","01095","Marshall","AL",47815,"R",1,1,1,0.999958172,0.999958172,0.507915926
"96","Total","01095","Marshall","AL",47815,"B",1,1,1,0.999958172,0.999958172,0.51690892
"97","Total","01097","Mobile","AL",207838,"R",1,1,1,1,1,0.66943966
"98","Total","01097","Mobile","AL",207838,"B",1,1,1,1,1,0.682146672
"99","Total","01099","Monroe","AL",12909,"R",1,1,1,1,1,0.078085057
"100","Total","01099","Monroe","AL",12909,"B",1,1,1,1,1,0.08699357
"101","Total","01101","Montgomery","AL",131293,"R",1,1,1,1,1,0.476354413
"102","Total","01101","Montgomery","AL",131293,"B",1,1,1,1,1,0.499493499
"103","Total","01103","Morgan","AL",62150,"R",1,1,1,0.99996782,0.99996782,0.686001609
"104","Total","01103","Morgan","AL",62150,"B",1,1,1,0.99996782,0.99996782,0.514046661
"105","Total","01105","Perry","AL",5041,"R",1,1,1,0.999801627,0.999801627,0.2596707
"106","Total","01105","Perry","AL",5041,"B",1,1,1,0.999801627,0.999801627,0.280103154
"107","Total","01107","Pickens","AL",11466,"R",1,1,1,0.999912786,0.999912786,0.534624106
"108","Total","01107","Pickens","AL",11466,"B",1,1,1,0.999912786,0.999912786,0.53471132
"109","Total","01109","Pike","AL",18718,"R",1,1,1,1,1,0.919970082
"110","Total","01109","Pike","AL",18718,"B",1,1,1,1,1,0.919970082
"111","Total","01111","Randolph","AL",14829,"R",1,1,1,1,1,0.229415335
"112","Total","01111","Randolph","AL",14829,"B",1,1,1,1,1,0.097511633
"113","Total","01113","Russell","AL",30942,"R",1,1,1,1,1,0.992211234
"114","Total","01113","Russell","AL",30942,"B",1,1,1,1,1,0.992340508
"115","Total","01115","St. Clair","AL",45196,"R",1,1,1,1,1,0.529095495
"116","Total","01115","St. Clair","AL",45196,"B",1,1,1,1,1,0.53349854
"117","Total","01117","Shelby","AL",101347,"R",1,1,1,1,1,0.728832625
"118","Total","01117","Shelby","AL",101347,"B",1,1,1,1,1,0.73695324
"119","Total","01119","Sumter","AL",7972,"R",1,1,1,1,1,0.019066734
"120","Total","01119","Sumter","AL",7972,"B",1,1,1,1,1,0.036628199
"121","Total","01121","Talladega","AL",44880,"R",1,1,1,0.999955437,0.999955437,0.550668449
"122","Total","01121","Talladega","AL",44880,"B",1,1,1,0.999955437,0.999955437,0.50951426
"123","Total","01123","Tallapoosa","AL",26592,"R",1,1,1,1,1,0.280949158
"124","Total","01123","Tallapoosa","AL",26592,"B",1,1,1,1,1,0.297495487
"125","Total","01125","Tuscaloosa","AL",116133,"R",1,1,1,0.999991389,0.999939724,0.640438118
"126","Total","01125","Tuscaloosa","AL",116133,"B",1,1,1,1,0.999939724,0.655050675
"127","Total","01127","Walker","AL",35742,"R",1,1,1,0.999944043,0.999944043,0.201695484
"128","Total","01127","Walker","AL",35742,"B",1,1,1,0.999944043,0.999944043,0.24019361
"129","Total","01129","Washington","AL",10009,"R",1,1,1,1,1,0.014986512
"130","Total","01129","Washington","AL",10009,"B",1,1,1,1,1,0.017584174
"131","Total","01131","Wilcox","AL",6715,"R",1,1,1,1,1,0.129262844
"132","Total","01131","Wilcox","AL",6715,"B",1,1,1,1,1,0.129262844
"133","Total","01133","Winston","AL",15831,"R",1,1,1,1,1,0.90828122
"134","Total","01133","Winston","AL",15831,"B",1,1,1,1,1,0.910239404
"135","Total","02013","Aleutians East Borough","AK",1185,"R",1,1,1,1,1,0
"136","Total","02013","Aleutians East Borough","AK",1185,"B",1,1,1,1,1,0
"137","Total","02016","Aleutians West Census Area","AK",1484,"R",1,1,1,1,1,0
"138","Total","02016","Aleutians West Census Area","AK",1484,"B",1,1,1,1,1,0
"139","Total","02020","Anchorage Municipality","AK",136150,"R",1,1,1,1,1,0.049430775
"140","Total","02020","Anchorage Municipality","AK",136150,"B",1,1,1,1,1,0.013419023
"141","Total","02050","Bethel Census Area","AK",7293,"R",1,1,1,1,1,0
"142","Total","02050","Bethel Census Area","AK",7293,"B",1,1,1,1,1,0
"143","Total","02060","Bristol Bay Borough","AK",1096,"R",1,1,1,1,1,0
"144","Total","02060","Bristol Bay Borough","AK",1096,"B",1,1,1,1,1,0
"145","Total","02063","Chugach Census Area","AK",3702,"R",1,1,1,1,1,0.548892491
"146","Total","02063","Chugach Census Area","AK",3702,"B",1,1,1,1,1,0.548892491
"147","Total","02066","Copper River Census Area","AK",4078,"R",1,1,1,1,1,0.784207945
"148","Total","02066","Copper River Census Area","AK",4078,"B",1,1,1,1,1,0.784207945
"149","Total","02068","Denali Borough","AK",2089,"R",1,1,1,1,1,0.106270943
"150","Total","02068","Denali Borough","AK",2089,"B",1,1,1,1,1,0.071325993
"151","Total","02070","Dillingham Census Area","AK",2537,"R",1,1,1,1,1,0
"152","Total","02070","Dillingham Census Area","AK",2537,"B",1,1,1,1,1,0
"153","Total","02090","Fairbanks North Star Borough","AK",52409,"R",1,1,1,0.999961839,0.999961839,0.09866626
"154","Total","02090","Fairbanks North Star Borough","AK",52409,"B",1,1,1,0.999961839,0.999961839,0.050735561
"155","Total","02100","Haines Borough","AK",1777,"R",1,1,1,1,1,0.588632527
"156","Total","02100","Haines Borough","AK",1777,"B",1,1,1,1,1,0.316826111
"157","Total","02105","Hoonah-Angoon Census Area","AK",2137,"R",1,1,1,1,1,0
"158","Total","02105","Hoonah-Angoon Census Area","AK",2137,"B",1,1,1,1,1,0
"159","Total","02110","Juneau City and Borough","AK",16629,"R",1,1,1,1,1,0.001984485
"160","Total","02110","Juneau City and Borough","AK",16629,"B",1,1,1,1,1,0.005472368
"161","Total","02122","Kenai Peninsula Borough","AK",40040,"R",1,1,1,1,1,0.001898102
"162","Total","02122","Kenai Peninsula Borough","AK",40040,"B",1,1,1,1,1,0.003521479
"163","Total","02130","Ketchikan Gateway Borough","AK",7910,"R",1,1,1,1,1,0.980151707
"164","Total","02130","Ketchikan Gateway Borough","AK",7910,"B",1,1,1,1,1,0.980151707
"165","Total","02150","Kodiak Island Borough","AK",6374,"R",1,1,1,1,1,0
"166","Total","02150","Kodiak Island Borough","AK",6374,"B",1,1,1,1,1,0.002823972
"167","Total","02158","Kusilvak Census Area","AK",2914,"R",1,1,1,1,1,0
"168","Total","02158","Kusilvak Census Area","AK",2914,"B",1,1,1,1,1,0
"169","Total","02164","Lake and Peninsula Borough","AK",2419,"R",1,1,1,1,1,0
"170","Total","02164","Lake and Peninsula Borough","AK",2419,"B",1,1,1,1,1,0
"171","Total","02170","Matanuska-Susitna Borough","AK",55658,"R",1,1,1,1,1,0.290164936
"172","Total","02170","Matanuska-Susitna Borough","AK",55658,"B",1,1,1,1,1,0.04671386
"173","Total","02180","Nome Census Area","AK",4886,"R",1,1,1,1,1,0
"174","Total","02180","Nome Census Area","AK",4886,"B",1,1,1,1,1,0.000409333
"175","Total","02185","North Slope Borough","AK",2936,"R",1,1,1,1,1,0.61273842
"176","Total","02185","North Slope Borough","AK",2936,"B",1,1,1,1,1,0.22513624
"177","Total","02188","Northwest Arctic Borough","AK",2940,"R",1,1,1,1,1,0
"178","Total","02188","Northwest Arctic Borough","AK",2940,"B",1,1,1,1,1,0.000340136
"179","Total","02195","Petersburg Borough","AK",1786,"R",1,1,1,1,1,0.482082867
"180","Total","02195","Petersburg Borough","AK",1786,"B",1,1,1,1,1,0.345464726
"181","Total","02198","Prince of Wales-Hyder Census Area","AK",4316,"R",1,1,1,1,1,0.295180723
"182","Total","02198","Prince of Wales-Hyder Census Area","AK",4316,"B",1,1,1,1,1,0.113299351
"183","Total","02220","Sitka City and Borough","AK",4537,"R",1,1,1,1,1,0.003306149
"184","Total","02220","Sitka City and Borough","AK",4537,"B",1,1,1,1,1,0.003967379
"185","Total","02230","Skagway Municipality","AK",739,"R",1,1,1,1,1,0.615696888
"186","Total","02230","Skagway Municipality","AK",739,"B",1,1,1,1,1,0.546684709
"187","Total","02240","Southeast Fairbanks Census Area","AK",5825,"R",1,1,1,1,1,0.12360515
"188","Total","02240","Southeast Fairbanks Census Area","AK",5825,"B",1,1,1,1,1,0.077939914
"189","Total","02275","Wrangell City and Borough","AK",1332,"R",1,1,1,1,1,0.372372372
"190","Total","02275","Wrangell City and Borough","AK",1332,"B",1,1,1,1,1,0.220720721
"191","Total","02282","Yakutat City and Borough","AK",461,"R",1,1,1,1,1,0
"192","Total","02282","Yakutat City and Borough","AK",461,"B",1,1,1,1,1,0
"193","Total","02290","Yukon-Koyukuk Census Area","AK",6191,"R",1,1,1,1,1,0
"194","Total","02290","Yukon-Koyukuk Census Area","AK",6191,"B",1,1,1,1,1,0.00032305
"195","Total","04001","Apache","AZ",30654,"R",1,1,1,1,1,0.034644745
"196","Total","04001","Apache","AZ",30654,"B",1,1,1,1,1,0.034677367
"197","Total","04003","Cochise","AZ",66285,"R",1,1,1,1,1,0.284197028
"198","Total","04003","Cochise","AZ",66285,"B",1,1,1,1,1,0.243162103
"199","Total","04005","Coconino","AZ",78364,"R",1,1,1,1,1,0.042430198
"200","Total","04005","Coconino","AZ",78364,"B",1,1,1,1,1,0.029209841
"201","Total","04007","Gila","AZ",35864,"R",1,1,1,1,1,0.194261655
"202","Total","04007","Gila","AZ",35864,"B",1,1,1,1,1,0.189995539
"203","Total","04009","Graham","AZ",15999,"R",1,1,1,1,1,0.498656166
"204","Total","04009","Graham","AZ",15999,"B",1,1,1,1,1,0.498656166
"205","Total","04011","Greenlee","AZ",5134,"R",1,1,1,1,1,0.462991819
"206","Total","04011","Greenlee","AZ",5134,"B",1,1,1,1,1,0.462991819
"207","Total","04012","La Paz","AZ",16136,"R",1,1,1,1,1,0.361117997
"208","Total","04012","La Paz","AZ",16136,"B",1,1,1,1,1,0.360994051
"209","Total","04013","Maricopa","AZ",2123304,"R",1,1,1,0.999996232,0.999991994,0.703125412
"210","Total","04013","Maricopa","AZ",2123304,"B",1,1,1,0.999894033,0.999889794,0.378514805
"211","Total","04015","Mohave","AZ",141706,"R",1,1,1,0.999908261,0.999908261,0.795724952
"212","Total","04015","Mohave","AZ",141706,"B",1,1,1,0.999908261,0.999908261,0.787793036
"213","Total","04017","Navajo","AZ",63621,"R",1,1,1,1,1,0.07296333
"214","Total","04017","Navajo","AZ",63621,"B",1,1,1,1,1,0.073324846
"215","Total","04019","Pima","AZ",530869,"R",1,1,1,0.999975512,0.999971744,0.545605413
"216","Total","04019","Pima","AZ",530869,"B",1,1,1,0.999975512,0.999971744,0.221485903
"217","Total","04021","Pinal","AZ",211546,"R",1,1,1,1,1,0.567016157
"218","Total","04021","Pinal","AZ",211546,"B",1,1,1,1,1,0.474724173
"219","Total","04023","Santa Cruz","AZ",22322,"R",1,1,1,1,1,0.028447272
"220","Total","04023","Santa Cruz","AZ",22322,"B",1,1,1,1,1,0.02813368
"221","Total","04025","Yavapai","AZ",143843,"R",1,1,1,0.999958288,0.999958288,0.526782673
"222","Total","04025","Yavapai","AZ",143843,"B",1,1,1,0.999958288,0.999958288,0.528548487
"223","Total","04027","Yuma","AZ",109149,"R",1,1,1,1,1,0.607096721
"224","Total","04027","Yuma","AZ",109149,"B",1,1,1,1,1,0.609460462
"225","Total","05001","Arkansas","AR",10314,"R",1,1,1,1,1,0.784661625
"226","Total","05001","Arkansas","AR",10314,"B",1,1,1,1,1,0.586290479
"227","Total","05003","Ashley","AR",11238,"R",1,1,1,1,1,0.932550276
"228","Total","05003","Ashley","AR",11238,"B",1,1,1,1,1,0.93335113
"229","Total","05005","Baxter","AR",25727,"R",1,1,1,1,1,0.921172309
"230","Total","05005","Baxter","AR",25727,"B",1,1,1,1,1,0.930578769
"231","Total","05007","Benton","AR",144405,"R",1,1,1,0.9999446,0.9999446,0.691471902
"232","Total","05007","Benton","AR",144405,"B",1,1,1,0.999861501,0.999861501,0.456466189
"233","Total","05009","Boone","AR",19854,"R",1,1,1,1,1,0.476629395
"234","Total","05009","Boone","AR",19854,"B",1,1,1,1,1,0.425657298
"235","Total","05011","Bradley","AR",6100,"R",1,1,1,1,1,0.391639344
"236","Total","05011","Bradley","AR",6100,"B",1,1,1,1,1,0.613606557
"237","Total","05013","Calhoun","AR",3078,"R",1,1,1,1,1,0.882716049
"238","Total","05013","Calhoun","AR",3078,"B",1,1,1,1,1,0.888239116
"239","Total","05015","Carroll","AR",16737,"R",1,1,1,0.999223278,0.99916353,0.276393619
"240","Total","05015","Carroll","AR",16737,"B",1,1,1,0.99916353,0.99916353,0.215510545
"241","Total","05017","Chicot","AR",6014,"R",1,1,1,0.999833721,0.999667443,0.172597273
"242","Total","05017","Chicot","AR",6014,"B",1,1,1,0.999667443,0.999667443,0.172597273
"243","Total","05019","Clark","AR",11912,"R",1,1,1,1,1,0.752938214
"244","Total","05019","Clark","AR",11912,"B",1,1,1,1,1,0.818250504
"245","Total","05021","Clay","AR",9075,"R",1,1,1,1,1,0.88815427
"246","Total","05021","Clay","AR",9075,"B",1,1,1,1,1,0.535206612
"247","Total","05023","Cleburne","AR",18458,"R",1,1,1,1,1,0.723859573
"248","Total","05023","Cleburne","AR",18458,"B",1,1,1,1,0.999891646,0.177050601
"249","Total","05025","Cleveland","AR",4569,"R",1,1,1,1,1,0.669293062
"250","Total","05025","Cleveland","AR",4569,"B",1,1,1,0.999343401,0.999343401,0.426789232
"251","Total","05027","Columbia","AR",12368,"R",1,1,1,1,1,0.524175291
"252","Total","05027","Columbia","AR",12368,"B",1,1,1,1,1,0.574628072
"253","Total","05029","Conway","AR",11556,"R",1,1,1,0.99982693,0.99982693,0.40913811
"254","Total","05029","Conway","AR",11556,"B",1,1,1,0.99982693,0.99982693,0.192367601
"255","Total","05031","Craighead","AR",56844,"R",1,1,1,1,1,0.726373936
"256","Total","05031","Craighead","AR",56844,"B",1,1,1,1,1,0.583685173
"257","Total","05033","Crawford","AR",29396,"R",1,1,1,1,1,0.762416655
"258","Total","05033","Crawford","AR",29396,"B",1,1,1,1,1,0.231800245
"259","Total","05035","Crittenden","AR",24025,"R",1,1,1,1,1,0.605993757
"260","Total","05035","Crittenden","AR",24025,"B",1,1,1,1,1,0.470801249
"261","Total","05037","Cross","AR",8817,"R",1,1,1,1,1,0.604627424
"262","Total","05037","Cross","AR",8817,"B",1,1,1,0.999886583,0.999886583,0.150504707
"263","Total","05039","Dallas","AR",4336,"R",1,1,1,1,1,0.601937269
"264","Total","05039","Dallas","AR",4336,"B",1,1,1,1,1,0.601937269
"265","Total","05041","Desha","AR",6568,"R",1,1,1,1,1,0.282886724
"266","Total","05041","Desha","AR",6568,"B",1,1,1,1,1,0.282886724
"267","Total","05043","Drew","AR",9391,"R",1,1,1,0.999893515,0.999893515,0.624321159
"268","Total","05043","Drew","AR",9391,"B",1,1,1,0.999893515,0.999893515,0.653817485
"269","Total","05045","Faulkner","AR",60226,"R",1,1,1,0.999983396,0.999950188,0.823747219
"270","Total","05045","Faulkner","AR",60226,"B",1,1,1,0.999916979,0.999916979,0.64971939
"271","Total","05047","Franklin","AR",9296,"R",1,1,1,1,1,0.872633391
"272","Total","05047","Franklin","AR",9296,"B",1,1,1,0.998601549,0.998601549,0.346708262
"273","Total","05049","Fulton","AR",6797,"R",1,1,1,1,1,0.905105193
"274","Total","05049","Fulton","AR",6797,"B",1,1,1,1,1,0.905105193
"275","Total","05051","Garland","AR",59056,"R",1,1,1,0.999983067,0.999983067,0.452130182
"276","Total","05051","Garland","AR",59056,"B",1,1,1,0.999983067,0.999983067,0.482423462
"277","Total","05053","Grant","AR",8862,"R",1,1,1,1,1,0.926314602
"278","Total","05053","Grant","AR",8862,"B",1,1,1,1,1,0.913676371
"279","Total","05055","Greene","AR",21939,"R",1,1,1,1,1,0.997675373
"280","Total","05055","Greene","AR",21939,"B",1,1,1,1,1,0.98919732
"281","Total","05057","Hempstead","AR",11331,"R",1,1,1,1,1,0.851998941
"282","Total","05057","Hempstead","AR",11331,"B",1,1,1,1,1,0.852351955
"283","Total","05059","Hot Spring","AR",16031,"R",1,1,1,1,1,0.760588859
"284","Total","05059","Hot Spring","AR",16031,"B",1,1,1,1,1,0.783793899
"285","Total","05061","Howard","AR",6957,"R",1,1,1,1,1,0.772890614
"286","Total","05061","Howard","AR",6957,"B",1,1,1,1,1,0.772890614
"287","Total","05063","Independence","AR",19484,"R",1,1,1,1,1,0.391141449
"288","Total","05063","Independence","AR",19484,"B",1,1,1,1,1,0.351005954
"289","Total","05065","Izard","AR",8632,"R",1,1,1,1,1,0.78776645
"290","Total","05065","Izard","AR",8632,"B",1,1,1,1,1,0.78776645
"291","Total","05067","Jackson","AR",8444,"R",1,1,1,1,1,0.8342018
"292","Total","05067","Jackson","AR",8444,"B",1,1,1,1,1,0.573069635
"293","Total","05069","Jefferson","AR",35043,"R",1,1,1,0.999771709,0.9996861,0.415774905
"294","Total","05069","Jefferson","AR",35043,"B",1,1,1,0.999571954,0.999571954,0.398710156
"295","Total","05071","Johnson","AR",13116,"R",1,1,1,1,1,0.789188777
"296","Total","05071","Johnson","AR",13116,"B",1,1,1,1,1,0.385102165
"297","Total","05073","Lafayette","AR",4741,"R",1,1,1,1,1,0.789706813
"298","Total","05073","Lafayette","AR",4741,"B",1,1,1,1,1,0.791394221
"299","Total","05075","Lawrence","AR",8914,"R",1,1,1,1,1,0.873120933
"300","Total","05075","Lawrence","AR",8914,"B",1,1,1,1,1,0.619923716
"301","Total","05077","Lee","AR",4446,"R",1,1,1,1,1,0.047908232
"302","Total","05077","Lee","AR",4446,"B",1,1,1,1,1,0.009446694
"303","Total","05079","Lincoln","AR",5250,"R",1,1,1,1,1,0.744190476
"304","Total","05079","Lincoln","AR",5250,"B",1,1,1,0.999619048,0.999619048,0.570857143
"305","Total","05081","Little River","AR",7417,"R",1,1,1,1,1,0.42186868
"306","Total","05081","Little River","AR",7417,"B",1,1,1,1,1,0.42186868
"307","Total","05083","Logan","AR",11956,"R",1,1,1,1,1,0.81130813
"308","Total","05083","Logan","AR",11956,"B",1,1,1,0.99991636,0.99991636,0.387169622
"309","Total","05085","Lonoke","AR",34263,"R",1,1,1,1,1,0.949245542
"310","Total","05085","Lonoke","AR",34263,"B",1,1,1,0.999970814,0.999970814,0.569506465
"311","Total","05087","Madison","AR",9636,"R",1,1,1,1,1,0.927459527
"312","Total","05087","Madison","AR",9636,"B",1,1,1,1,1,0.926525529
"313","Total","05089","Marion","AR",10750,"R",1,1,1,1,1,0.669023256
"314","Total","05089","Marion","AR",10750,"B",1,1,1,1,1,0.669023256
"315","Total","05091","Miller","AR",21969,"R",1,1,1,1,1,0.840502526
"316","Total","05091","Miller","AR",21969,"B",1,1,1,1,1,0.918339478
"317","Total","05093","Mississippi","AR",22092,"R",1,1,1,1,1,0.373166757
"318","Total","05093","Mississippi","AR",22092,"B",1,1,1,1,1,0.398153178
"319","Total","05095","Monroe","AR",4629,"R",1,1,1,0.999783971,0.998919853,0.513069777
"320","Total","05095","Monroe","AR",4629,"B",1,1,1,0.999783971,0.998919853,0.202851588
"321","Total","05097","Montgomery","AR",6347,"R",1,1,1,1,1,0.322357019
"322","Total","05097","Montgomery","AR",6347,"B",1,1,1,1,1,0.322357019
"323","Total","05099","Nevada","AR",5196,"R",1,1,1,0.999807544,0.999807544,0.617205543
"324","Total","05099","Nevada","AR",5196,"B",1,1,1,0.999807544,0.999807544,0.632986913
"325","Total","05101","Newton","AR",5845,"R",1,1,1,1,1,0.038665526
"326","Total","05101","Newton","AR",5845,"B",1,1,1,1,1,0.020530368
"327","Total","05103","Ouachita","AR",12997,"R",1,1,1,1,1,0.547510964
"328","Total","05103","Ouachita","AR",12997,"B",1,1,1,1,1,0.565438178
"329","Total","05105","Perry","AR",5589,"R",1,1,1,1,1,0.933082841
"330","Total","05105","Perry","AR",5589,"B",1,1,1,1,1,0.60297012
"331","Total","05107","Phillips","AR",10156,"R",1,1,1,1,1,0.073651044
"332","Total","05107","Phillips","AR",10156,"B",1,1,1,1,1,0.073651044
"333","Total","05109","Pike","AR",6299,"R",1,1,1,1,1,0.983330687
"334","Total","05109","Pike","AR",6299,"B",1,1,1,1,1,0.983330687
"335","Total","05111","Poinsett","AR",9167,"R",1,1,1,1,1,0.454019854
"336","Total","05111","Poinsett","AR",9167,"B",1,1,1,1,1,0.453365332
"337","Total","05113","Polk","AR",11531,"R",1,1,1,1,1,0.589107623
