"area_data_type","GEOID","county","state","total_area","mobilebb_3g_area_st_pct","mobilebb_3g_area_iv_pct","mobilebb_4g_area_st_pct","mobilebb_4g_area_iv_pct","mobilebb_5g_spd1_area_st_pct","mobilebb_5g_spd1_area_iv_pct","mobilebb_5g_spd2_area_st_pct","mobilebb_5g_spd2_area_iv_pct","year"
"Total","01001","Autauga","AL",1579.9875,0,0,0.995466667,0.6566,0.858466667,0.301066667,0.609466667,0.1804,"_2023"
"Total","01003","Baldwin","AL",5165.716465,0,0,0.938175441,0.684739611,0.767546185,0.44437421,0.614962685,0.32747441,"_2023"
"Total","01005","Barbour","AL",2407.05829,0,0,0.952826886,0.566865045,0.398345878,0.076973569,0.217311395,0.033695081,"_2023"
"Total","01007","Bibb","AL",1630.2311025,0,0,0.972862958,0.539897913,0.540673257,0.090327583,0.287652646,0.037474963,"_2023"
"Total","01009","Blount","AL",1720.1850575,0,0,0.999020268,0.868103607,0.944094054,0.603637254,0.667013655,0.376829343,"_2023"
"Total","01011","Bullock","AL",1655.616235,0,0,0.984221911,0.468634686,0.132650464,0.019340883,0.068074819,0.008906986,"_2023"
"Total","01013","Butler","AL",2025.543975,0,0,0.825221009,0.467446698,0.528549142,0.191263651,0.369214769,0.143473739,"_2023"
"Total","01015","Calhoun","AL",1635.2870625,0,0,0.980032206,0.724959742,0.922834138,0.556199678,0.780869565,0.457777778,"_2023"
"Total","01017","Chambers","AL",1613.5885675,0,0,0.955219009,0.534630198,0.430315295,0.090280044,0.236960637,0.044193485,"_2023"
"Total","01019","Cherokee","AL",1613.5885675,0,0,0.997323585,0.630393629,0.672432926,0.229323063,0.457275279,0.16528494,"_2023"
"Total","01021","Chilton","AL",1835.524145,0,0,0.978824745,0.666073683,0.525823482,0.093481005,0.287673591,0.035865947,"_2023"
"Total","01023","Choctaw","AL",2344.069455,0,0,0.999955064,0.999011414,0.296441089,0.044396513,0.140289386,0.016626224,"_2023"
"Total","01025","Clarke","AL",3203.0559925,0,0,0.721299615,0.279752705,0.332566017,0.085468118,0.210365352,0.059193002,"_2023"
"Total","01027","Clay","AL",1612.219245,0,0,0.930288776,0.339082713,0.46458905,0.108846204,0.258787404,0.079249967,"_2023"
"Total","01029","Cleburne","AL",1506.1494175,0,0,0.865305266,0.410448283,0.452199455,0.122595986,0.290999371,0.077068326,"_2023"
"Total","01031","Coffee","AL",1788.4405175,0,0,0.984039107,0.576712409,0.557865599,0.201307497,0.327227752,0.135049178,"_2023"
"Total","01033","Colbert","AL",1626.3338,0,0,0.961658031,0.573445596,0.715867876,0.290608808,0.507512953,0.183419689,"_2023"
"Total","01035","Conecuh","AL",2205.9785475,0,0,0.890178102,0.437664136,0.389199255,0.085852075,0.225755622,0.058301103,"_2023"
"Total","01037","Coosa","AL",1757.8940925,0,0,0.956318533,0.4630595,0.361615435,0.041045,0.157049554,0.013661693,"_2023"
"Total","01039","Covington","AL",2721.2651375,0,0,0.962415328,0.521811496,0.550067738,0.144764854,0.345035804,0.097116315,"_2023"
"Total","01041","Crenshaw","AL",1600.000675,0,0,0.8640553,0.421922317,0.516326531,0.184134299,0.37445688,0.136734694,"_2023"
"Total","01043","Cullman","AL",1989.309595,0,0,0.997934978,0.90580324,0.971672138,0.67081436,0.61532352,0.343534894,"_2023"
"Total","01045","Dale","AL",1488.348225,0,0,0.989384289,0.6492569,0.655555556,0.251167728,0.392427459,0.156192498,"_2023"
"Total","01047","Dallas","AL",2578.11827,0,0,0.999918287,0.999591437,0.467314921,0.08101814,0.25122569,0.03346135,"_2023"
"Total","01049","DeKalb","AL",2090.007465,0,0,0.993801028,0.764741458,0.839582703,0.382118738,0.607398448,0.276232235,"_2023"
"Total","01051","Elmore","AL",1733.562285,0,0,0.996901203,0.769109248,0.930550492,0.434621461,0.763154697,0.302284603,"_2023"
"Total","01053","Escambia","AL",2455.8272375,0,0,0.912245336,0.571348917,0.639373794,0.223718636,0.427364358,0.125927514,"_2023"
"Total","01055","Etowah","AL",1463.911085,0,0,0.988271694,0.806518924,0.858037128,0.538854511,0.697654339,0.447402504,"_2023"
