"area_data_type","GEOID","county","state","total_units","biz_res","speed_02_02","speed_10_1","speed_25_3","speed_100_20","speed_250_25","speed_1000_100","year"
"Total","01001","Autauga","AL",28527,"R",1,1,1,1,0.946436709,0.626213762,"_2024"
"Total","01001","Autauga","AL",28527,"B",1,1,1,1,0.66824412,0.611315596,"_2024"
"Total","01003","Baldwin","AL",147189,"R",1,1,1,0.999972824,0.8258022,0.514447411,"_2024"
"Total","01003","Baldwin","AL",147189,"B",1,1,1,0.999972824,0.827663752,0.553105191,"_2024"
"Total","01005","Barbour","AL",15194,"R",1,1,1,1,0.761616428,0.375740424,"_2024"
"Total","01005","Barbour","AL",15194,"B",1,1,1,1,0.461234698,0.376201132,"_2024"
"Total","01007","Bibb","AL",11145,"R",1,1,1,0.999910274,0.358187528,0.348766263,"_2024"
"Total","01007","Bibb","AL",11145,"B",1,1,1,0.999910274,0.198654105,0.187348587,"_2024"
"Total","01009","Blount","AL",31191,"R",1,1,1,0.999967939,0.571895739,0.195953961,"_2024"
"Total","01009","Blount","AL",31191,"B",1,1,1,0.999967939,0.450963419,0.195697477,"_2024"
"Total","01011","Bullock","AL",5863,"R",1,1,1,1,0.903632952,0.903632952,"_2024"
"Total","01011","Bullock","AL",5863,"B",1,1,1,1,0.903632952,0.903632952,"_2024"
"Total","01013","Butler","AL",12734,"R",1,1,1,1,0.652112455,0.185723261,"_2024"
"Total","01013","Butler","AL",12734,"B",1,1,1,1,0.564158945,0.18658709,"_2024"
"Total","01015","Calhoun","AL",63495,"R",1,1,1,1,0.915048429,0.339963777,"_2024"
"Total","01015","Calhoun","AL",63495,"B",1,1,1,1,0.880400031,0.340577998,"_2024"
"Total","01017","Chambers","AL",19434,"R",1,1,1,1,0.866985695,0.245188844,"_2024"
"Total","01017","Chambers","AL",19434,"B",1,1,1,1,0.309046002,0.168827828,"_2024"
"Total","01019","Cherokee","AL",18732,"R",1,1,1,0.999839846,0.278133675,0.13303438,"_2024"
"Total","01019","Cherokee","AL",18732,"B",1,1,1,0.999839846,0.172272048,0.124653,"_2024"
"Total","01021","Chilton","AL",25532,"R",1,1,1,1,0.584364719,0.549702334,"_2024"
"Total","01021","Chilton","AL",25532,"B",1,1,1,1,0.557692308,0.549898167,"_2024"
"Total","01023","Choctaw","AL",9372,"R",1,1,1,1,0.051429791,0.051429791,"_2024"
"Total","01023","Choctaw","AL",9372,"B",1,1,1,1,0.054310713,0.051429791,"_2024"
"Total","01025","Clarke","AL",14604,"R",1,1,1,1,0.387701999,0.043686661,"_2024"
"Total","01025","Clarke","AL",14604,"B",1,1,1,1,0.388729115,0.045466995,"_2024"
"Total","01027","Clay","AL",8228,"R",1,1,1,1,0.391225085,0.160184735,"_2024"
"Total","01027","Clay","AL",8228,"B",1,1,1,1,0.216334468,0.160913952,"_2024"
"Total","01029","Cleburne","AL",8349,"R",1,1,1,1,0.178704036,0.178105162,"_2024"
"Total","01029","Cleburne","AL",8349,"B",1,1,1,1,0.175110792,0.174751467,"_2024"
"Total","01031","Coffee","AL",34831,"R",1,1,1,1,0.967557635,0.896442824,"_2024"
"Total","01031","Coffee","AL",34831,"B",1,1,1,1,0.922540266,0.893715368,"_2024"
"Total","01033","Colbert","AL",32968,"R",1,1,1,1,0.881915797,0.370298471,"_2024"
"Total","01033","Colbert","AL",32968,"B",1,1,1,1,0.771384373,0.273537976,"_2024"
"Total","01035","Conecuh","AL",8528,"R",1,1,1,1,0.297490619,0.00152439,"_2024"
"Total","01035","Conecuh","AL",8528,"B",1,1,1,1,0.297959662,0.003752345,"_2024"
"Total","01037","Coosa","AL",7876,"R",1,1,1,1,0.745683088,0.452513966,"_2024"
"Total","01037","Coosa","AL",7876,"B",1,1,1,1,0.517140681,0.452513966,"_2024"
"Total","01039","Covington","AL",22715,"R",1,1,1,1,0.955491966,0.655646049,"_2024"
"Total","01039","Covington","AL",22715,"B",1,1,1,1,0.906141316,0.650011006,"_2024"
"Total","01041","Crenshaw","AL",8376,"R",1,1,1,1,0.637774594,0.637655205,"_2024"
"Total","01041","Crenshaw","AL",8376,"B",1,1,1,1,0.637774594,0.637655205,"_2024"
"Total","01043","Cullman","AL",49072,"R",1,1,1,0.999938865,0.892199217,0.693715357,"_2024"
"Total","01043","Cullman","AL",49072,"B",1,1,1,0.999938865,0.706349853,0.673826215,"_2024"
"Total","01045","Dale","AL",26552,"R",1,1,1,1,0.936163001,0.770186803,"_2024"
"Total","01045","Dale","AL",26552,"B",1,1,1,1,0.78928141,0.770186803,"_2024"
"Total","01047","Dallas","AL",22721,"R",1,1,1,1,0.687733815,0.063685577,"_2024"
"Total","01047","Dallas","AL",22721,"B",1,1,1,1,0.207033141,0.06681044,"_2024"
"Total","01049","DeKalb","AL",35912,"R",1,1,1,1,0.880569169,0.734935398,"_2024"
"Total","01049","DeKalb","AL",35912,"B",1,1,1,1,0.746073736,0.732457117,"_2024"
"Total","01051","Elmore","AL",43676,"R",1,1,1,1,0.907248832,0.596254236,"_2024"
"Total","01051","Elmore","AL",43676,"B",1,1,1,1,0.659767378,0.598085905,"_2024"
"Total","01053","Escambia","AL",20855,"R",1,1,1,0.99995205,0.543274994,0.001054903,"_2024"
"Total","01053","Escambia","AL",20855,"B",1,1,1,0.999760249,0.511675857,0.00733637,"_2024"
"Total","01055","Etowah","AL",57370,"R",1,1,1,1,0.900122015,0.585114171,"_2024"
"Total","01055","Etowah","AL",57370,"B",1,1,1,1,0.79388182,0.533135785,"_2024"
"Total","01057","Fayette","AL",9702,"R",1,1,1,1,0.946093589,0.945681303,"_2024"
"Total","01057","Fayette","AL",9702,"B",1,1,1,1,0.945990517,0.945681303,"_2024"
"Total","01059","Franklin","AL",16974,"R",1,1,1,1,0.944149876,0.681453988,"_2024"
"Total","01059","Franklin","AL",16974,"B",1,1,1,1,0.754153411,0.685283375,"_2024"
