"area_data_type","GEOID","county","state","total_units","biz_res","speed_02_02","speed_10_1","speed_25_3","speed_100_20","speed_250_25","speed_1000_100","year"
"Total","01001","Autauga","AL",27965,"R",1,1,1,1,1,0.600107277,"_2025"
"Total","01001","Autauga","AL",27965,"B",1,1,1,1,1,0.603361345,"_2025"
"Total","01003","Baldwin","AL",149110,"R",1,1,1,1,1,0.645328952,"_2025"
"Total","01003","Baldwin","AL",149110,"B",1,1,1,1,1,0.6772584,"_2025"
"Total","01005","Barbour","AL",14829,"R",1,1,1,1,1,0.618045721,"_2025"
"Total","01005","Barbour","AL",14829,"B",1,1,1,1,1,0.647852182,"_2025"
"Total","01007","Bibb","AL",10727,"R",1,1,1,0.999906777,0.999906777,0.397408409,"_2025"
"Total","01007","Bibb","AL",10727,"B",1,1,1,0.999906777,0.999906777,0.416239396,"_2025"
"Total","01009","Blount","AL",28976,"R",1,1,1,0.999896466,0.999896466,0.342110712,"_2025"
"Total","01009","Blount","AL",28976,"B",1,1,1,0.999896466,0.999896466,0.34649365,"_2025"
"Total","01011","Bullock","AL",5577,"R",1,1,1,1,1,0.931683701,"_2025"
"Total","01011","Bullock","AL",5577,"B",1,1,1,1,1,0.931683701,"_2025"
"Total","01013","Butler","AL",12038,"R",1,1,1,1,1,0.545356371,"_2025"
"Total","01013","Butler","AL",12038,"B",1,1,1,1,1,0.554494102,"_2025"
"Total","01015","Calhoun","AL",60773,"R",1,1,1,1,1,0.452339032,"_2025"
"Total","01015","Calhoun","AL",60773,"B",1,1,1,1,1,0.454511049,"_2025"
"Total","01017","Chambers","AL",18661,"R",1,1,1,1,1,0.192487005,"_2025"
"Total","01017","Chambers","AL",18661,"B",1,1,1,1,1,0.221531536,"_2025"
"Total","01019","Cherokee","AL",18238,"R",1,1,1,0.999945169,0.999945169,0.223982893,"_2025"
"Total","01019","Cherokee","AL",18238,"B",1,1,1,0.999945169,0.999945169,0.235661805,"_2025"
"Total","01021","Chilton","AL",23107,"R",1,1,1,1,1,0.852252564,"_2025"
"Total","01021","Chilton","AL",23107,"B",1,1,1,1,1,0.85316138,"_2025"
"Total","01023","Choctaw","AL",9094,"R",1,1,1,1,1,0.074664614,"_2025"
"Total","01023","Choctaw","AL",9094,"B",1,1,1,1,1,0.074884539,"_2025"
"Total","01025","Clarke","AL",13910,"R",1,1,1,1,1,0.074335011,"_2025"
"Total","01025","Clarke","AL",13910,"B",1,1,1,1,1,0.078289001,"_2025"
"Total","01027","Clay","AL",7977,"R",1,1,1,1,1,0.482637583,"_2025"
"Total","01027","Clay","AL",7977,"B",1,1,1,1,1,0.500313401,"_2025"
"Total","01029","Cleburne","AL",8003,"R",1,1,1,1,1,0.188554292,"_2025"
"Total","01029","Cleburne","AL",8003,"B",1,1,1,1,1,0.188679245,"_2025"
"Total","01031","Coffee","AL",28777,"R",1,1,1,1,1,0.949960038,"_2025"
"Total","01031","Coffee","AL",28777,"B",1,1,1,1,1,0.951593286,"_2025"
"Total","01033","Colbert","AL",32349,"R",1,1,1,1,1,0.601069585,"_2025"
"Total","01033","Colbert","AL",32349,"B",1,1,1,1,1,0.538656527,"_2025"
"Total","01035","Conecuh","AL",8188,"R",1,1,1,1,1,0.001709819,"_2025"
"Total","01035","Conecuh","AL",8188,"B",1,1,1,1,1,0.006228627,"_2025"
"Total","01037","Coosa","AL",7562,"R",1,1,1,1,1,0.573393282,"_2025"
