"GEOID","state","county","year","inf_mort_rate_5yr_lt1_avg","hosp_per100k","lth_psych_per100k","hosp_adm_per100k","hosp_beds_per1000","md_nf_fed_per100k","do_nf_fed_activ_per100k","stgh_ed_vists_per100k","stnglth_ed_vists_per100k","lo_birth_wgt_pct","suicide_deth_3yr_per100k","stgh_obstetrc_care_per100k_fem","do_nf_obgyn_gen_per100k_fem","md_nf_obgyn_gen_per100k_fem","comn_mentl_hlth_ctr_per100k","fedly_qualfd_hlth_ctr_per100k"
"01001","AL","Autauga","2023",NA,1.65722050976103,0,5235.15959033509,1.17662656193033,86.1754665075735,1.65722050976103,49226.0780219416,0,10.0981767180926,16.5722050976103,0,0,0,0,3.31444101952206
"01003","AL","Baldwin","2023",5.5,1.57786569996095,0,9226.96414694663,2.15378668044669,261.136773343537,28.4015825992971,48098.4745983346,0,8.09732748304747,18.1454555495509,1.53834320436889,0.769171602184447,16.1526036458734,0,1.57786569996095
"01005","AL","Barbour","2023",NA,4.06752084604434,0,4474.27293064877,1.91173479764084,56.9452918446207,4.06752084604434,17954.0370144397,0,13.2352941176471,NA,0,0,0,0,12.202562538133
"01007","AL","Bibb","2023",NA,4.57289189683556,0,4399.12200475581,7.59100054874703,173.769892079751,73.1662703493689,27259.0085970368,0,10.0418410041841,NA,9.67305088024763,0,0,0,36.5831351746845
"01009","AL","Blount","2023",NA,1.67179350006687,0,1324.06045205296,0.417948375016718,31.7640765012706,0,22438.8123578976,0,7.5801749271137,21.7333155008693,0,0,0,0,1.67179350006687
"01011","AL","Bullock","2023",NA,10.1040719409922,0,12609.8817823583,5.4561988481358,50.5203597049611,0,29200.7679094675,0,13.8613861386139,NA,0,0,0,0,10.1040719409922
"01013","AL","Butler","2023",NA,5.44010445000544,0,5140.89870525514,3.31846371450332,114.242193450114,0,18061.1467740181,0,12.807881773399,NA,0,0,0,0,5.44010445000544
"01015","AL","Calhoun","2023",7.1,1.71778508790765,0,9188.43243521803,2.92882357488255,174.355186422627,13.7422807032612,14344.3643765728,0,8.93129770992366,18.0367434230303,0,1.66638893517747,19.9966672221296,0,2.57667763186148
"01017","AL","Chambers","2023",NA,0,0,0,0,96.8338272836644,8.80307520760586,0,0,12.2549019607843,NA,0,0,0,0,5.86871680507057
"01019","AL","Cherokee","2023",NA,3.89620509623627,0,3939.06335229487,1.75329229330632,66.2354866360165,7.79241019247253,6370.29533234629,0,7.89473684210526,NA,0,0,0,0,3.89620509623627
